UnixTime,p,v,h,filtered_v,filted_h
21635,94095.41,19.71887,26.841694,9.626503,-3.1869109
21687,94095.61,-36.627804,25.010303,9.57027,-2.7083974
21739,94095.5,19.744463,25.997526,9.51384,-2.2327054
21790,94095.54,-7.0513263,25.644958,9.231771,-1.7711169
21842,94095.266,49.35741,28.11283,9.415073,-1.3003632
21894,94095.37,-18.332417,27.196207,9.598463,-0.82044005
21945,94095.4,-5.642277,26.914093,9.203514,-0.3602643
21997,94095.37,5.640525,27.196117,9.25992,0.102731675
22049,94095.37,-0.0,27.196117,8.963621,0.55091274
22100,94095.2,29.621407,28.677189,9.217528,1.0117892
22152,94095.35,-26.791546,27.33761,9.090658,1.4663222
22204,94095.195,28.20389,28.747807,9.273992,1.9300216
22255,94094.914,50.763268,31.285969,10.190576,2.4395504
22307,94094.86,9.870823,31.77951,10.289284,2.9540148
22359,94094.914,-9.87178,31.285921,10.515013,3.4797654
22410,94094.91,1.4100697,31.356424,10.204836,3.9900072
22462,94094.91,-0.0,31.356424,9.894579,4.484736
22514,94094.91,-0.0,31.356424,9.894579,4.979465
22565,94095.03,-22.566397,30.228106,9.753532,5.4671416
22617,94094.99,7.04981,30.580595,9.993248,5.966804
22669,94094.99,-0.0,30.580595,9.68305,6.4509573
22720,94095.03,-7.049815,30.228106,9.6689625,6.9344053
22772,94094.92,19.738762,31.215042,9.86635,7.427723
22824,94094.92,-0.0,31.215042,9.86635,7.921041
22875,94094.65,49.36222,33.683155,10.233024,8.432693
22927,94094.68,-5.6392183,33.401196,10.247124,8.945048
22979,94094.68,-0.0,33.401196,10.317623,9.46093
23030,94094.87,-33.845722,31.708908,9.838155,9.952837
23082,94094.75,21.151989,32.766506,10.049675,10.45532
23134,94094.78,-5.639879,32.484512,9.795825,10.945112
23185,94094.75,5.6396575,32.7665,9.274183,11.408821
23237,94094.6,26.789478,34.105972,9.499775,11.88381
23289,94094.75,-26.793036,32.76632,9.274141,12.347517
23341,94094.78,-5.6383514,32.4844,9.217758,12.808405
